Table 1
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
31,Ramona Bachmann,"MF,FW",ch Switzerland,32,1990,4,4,332,3.7,1,0,1,0,1,1,1,0,1.2,0.4,0.3,0.7,15,16,22,0.27,0,0.27,0,0,0.33,0.07,0.4,0.11,0.18,Matches
32,Najat Badri,MF,ma Morocco,35,1988,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
33,Jill Baijings,FW,nl Netherlands,22,2001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
34,Yenith Bailey,GK,pa Panama,22,2001,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
35,Stine Ballisager Pedersen,DF,dk Denmark,29,1994,3,3,256,2.8,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,Matches
36,Carina Baltrip-Reyes,DF,pa Panama,24,1998,3,3,266,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
37,Barbra Banda,FW,zm Zambia,23,2000,3,3,270,3,1,1,2,0,1,1,1,0,1.2,0.4,1.2,1.6,15,4,26,0.33,0.33,0.67,0,0.33,0.41,0.39,0.8,0.15,0.54,Matches
38,Susan Banda,MF,zm Zambia,28,1995,3,3,216,2.4,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
39,Estefanía Banini,"MF,FW",ar Argentina,32,1990,3,3,270,3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,8,10,12,0,0,0,0,0,0.03,0,0.04,0.03,0.04,Matches
40,Alicia Barker,DF,ph Philippines,25,1998,3,3,215,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,Matches
41,Amber Barrett,FW,ie Rep. of Ireland,27,1996,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
42,Elisa Bartoli,DF,it Italy,32,1991,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Ona Batlle,DF,es Spain,24,1999,7,7,612,6.8,0,1,1,0,0,0,0,0,0.2,0.2,0.9,1.1,39,59,48,0,0.15,0.15,0,0.15,0.03,0.13,0.17,0.03,0.17,Matches
44,Angela Beard,DF,ph Philippines,25,1997,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
45,Beatriz,"FW,MF",br Brazil,29,1993,3,1,114,1.3,1,0,1,1,0,0,0,0,1.3,1.3,0.6,1.9,2,2,11,0.79,0,0.79,0.79,0.79,1.05,0.47,1.52,1.05,1.52,Matches
46,Chiara Beccari,FW,it Italy,18,2004,3,3,247,2.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,4,5,21,0,0,0,0,0,0.2,0.1,0.3,0.2,0.3,Matches
47,Vicki Bècho,"MF,FW",fr France,19,2003,5,1,225,2.5,1,1,2,1,0,0,0,0,0.4,0.4,1.7,2.1,14,10,40,0.4,0.4,0.8,0.4,0.8,0.18,0.77,0.95,0.18,0.95,Matches
48,Lorena Bedoya,MF,co Colombia,25,1997,5,5,445,4.9,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,14,3,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06,Matches
49,Lineth Beerensteyn,FW,nl Netherlands,26,1996,3,3,296,3.3,1,0,1,1,0,0,0,0,1.1,1.1,0.2,1.3,9,1,23,0.3,0,0.3,0.3,0.3,0.36,0.07,0.43,0.36,0.43,Matches
50,Margaret Belemu,DF,zm Zambia,26,1997,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,2,12,3,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches
51,Mariana Benavides,DF,cr Costa Rica,28,1994,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
52,Lorena Benítez,MF,ar Argentina,24,1998,2,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
53,Hanna Bennison,MF,se Sweden,20,2002,4,1,145,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,4,7,7,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
54,Nouhaila Benzina,DF,ma Morocco,25,1998,3,3,270,3,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,3,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
55,Guro Bergsvand,DF,no Norway,29,1994,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
56,Kholosa Biyana,MF,za South Africa,28,1994,3,2,209,2.3,0,0,0,0,0,0,2,0,0.2,0.2,0.8,1,0,16,2,0,0,0,0,0,0.08,0.35,0.43,0.08,0.43,Matches
57,Thea Bjelde,DF,no Norway,23,2000,4,4,330,3.7,0,1,1,0,0,0,0,0,0,0,0.1,0.1,2,10,7,0,0.27,0.27,0,0.27,0,0.04,0.04,0,0.04,Matches
58,Nathalie Björn,DF,se Sweden,26,1997,6,6,570,6.3,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,7,46,8,0,0,0,0,0,0.04,0.08,0.12,0.04,0.12,Matches
59,Stina Blackstenius,FW,se Sweden,27,1996,7,6,498,5.5,1,1,2,1,0,0,0,0,2.2,2.2,0.5,2.7,8,4,46,0.18,0.18,0.36,0.18,0.36,0.4,0.08,0.49,0.4,0.49,Matches
60,Deneisha Blackwood,DF,jm Jamaica,26,1997,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0.1,0.1,2,8,2,0,0,0,0,0,0.01,0.02,0.04,0.01,0.04,Matches
61,Julie Blakstad,FW,no Norway,21,2001,1,1,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
62,Rebecka Blomqvist,FW,se Sweden,25,1997,6,1,163,1.8,3,0,3,3,0,0,0,0,1.6,1.6,0.1,1.7,1,2,15,1.66,0,1.66,1.66,1.66,0.93,0.07,1,0.93,1,Matches
63,Lisa Boattin,DF,it Italy,26,1997,3,3,270,3,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.7,7,14,18,0,0.33,0.33,0,0.33,0.07,0.15,0.22,0.07,0.22,Matches
64,Sarina Bolden,FW,ph Philippines,26,1996,3,3,235,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0,0.3,0,2,11,0.38,0,0.38,0.38,0.38,0.1,0,0.1,0.1,0.1,Matches
65,Barbara Bonansea,FW,it Italy,32,1991,3,3,211,2.3,0,0,0,0,0,0,1,0,0,0,0.2,0.2,2,8,12,0,0,0,0,0,0.01,0.09,0.1,0.01,0.1,Matches
66,Aitana Bonmatí,MF,es Spain,25,1998,7,7,582,6.5,3,2,5,3,0,0,0,0,2,2,1.5,3.5,21,64,49,0.46,0.31,0.77,0.46,0.77,0.32,0.22,0.54,0.32,0.54,Matches
67,Florencia Bonsegundo,"FW,MF",ar Argentina,29,1993,3,3,219,2.4,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,6,3,14,0,0,0,0,0,0.14,0.12,0.26,0.14,0.26,Matches
68,Roselord Borgella,"FW,MF",ht Haiti,30,1993,3,2,191,2.1,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,3,1,16,0,0,0,0,0,0.14,0.07,0.21,0.14,0.21,Matches
69,Ana Borges,DF,pt Portugal,32,1990,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0.2,0.2,2,17,2,0,0,0,0,0,0,0.08,0.08,0,0.08,Matches
70,CJ Bott,DF,nz New Zealand,28,1995,3,3,270,3,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,8,10,9,0,0,0,0,0,0.09,0.2,0.29,0.09,0.29,Matches
71,Sofia Bouftini,MF,ma Morocco,21,2002,3,0,39,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1,0,2,0,0,0,0,0,0.37,0,0.37,0.37,0.37,Matches
72,Katie Bowen,DF,nz New Zealand,29,1994,3,3,270,3,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.7,3,21,4,0,0,0,0,0,0.09,0.15,0.24,0.09,0.24,Matches
73,Simone Boye Sørensen,DF,dk Denmark,31,1992,4,4,360,4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,2,12,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
74,Jule Brand,FW,de Germany,20,2002,3,3,263,2.9,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.5,6,15,20,0,0,0,0,0,0.05,0.13,0.18,0.05,0.18,Matches
75,Marit Bratberg Lund,DF,no Norway,25,1997,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
76,Sophia Braun,"MF,DF",ar Argentina,22,2000,3,3,270,3,1,0,1,1,0,0,0,0,0.1,0.1,0,0.1,2,12,7,0.33,0,0.33,0.33,0.33,0.03,0,0.03,0.03,0.03,Matches
77,Millie Bright,DF,eng England,29,1993,7,7,660,7.3,0,1,1,0,0,0,0,0,0.5,0.5,0.2,0.7,5,39,0,0,0.14,0.14,0,0.14,0.07,0.03,0.1,0.07,0.1,Matches
78,Lucy Bronze,DF,eng England,31,1991,7,7,640,7.1,0,0,0,0,0,0,1,0,0.5,0.5,0.8,1.3,17,38,43,0,0,0,0,0,0.07,0.12,0.19,0.07,0.19,Matches
79,Courtney Brosnan,GK,ie Rep. of Ireland,27,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
80,Jody Brown,MF,jm Jamaica,21,2002,4,4,336,3.7,0,0,0,0,0,0,0,0,0.7,0.7,0.2,0.9,6,9,9,0,0,0,0,0,0.2,0.05,0.25,0.2,0.25,Matches
81,Esmee Brugts,FW,nl Netherlands,19,2003,5,5,435,4.8,2,0,2,2,0,0,0,0,0.3,0.3,0.9,1.2,4,12,24,0.41,0,0.41,0.41,0.41,0.07,0.18,0.25,0.07,0.25,Matches
82,Bruninha,DF,br Brazil,20,2002,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.09,0,0.09,0.09,0.09,Matches
83,Signe Bruun,FW,dk Denmark,25,1998,3,0,85,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,0,5,8,0,0,0,0,0,0.21,0.44,0.65,0.21,0.65,Matches
84,Kadeisha Buchanan,DF,ca Canada,27,1995,3,3,225,2.5,0,0,0,0,0,0,1,0,0.1,0.1,0.5,0.6,2,14,0,0,0,0,0,0,0.03,0.19,0.22,0.03,0.22,Matches
85,Ryley Bugay,"MF,DF",ph Philippines,27,1996,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
86,Klara Bühl,FW,de Germany,22,2000,3,3,201,2.2,1,1,2,1,0,0,0,0,0.6,0.6,0.2,0.8,9,3,32,0.45,0.45,0.9,0.45,0.9,0.27,0.09,0.36,0.27,0.36,Matches
87,Luana Bühler,DF,ch Switzerland,27,1996,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,8,0,0,0,0,0,0,0,0.28,0.28,0,0.28,Matches
88,Claudia Bunge,DF,nz New Zealand,23,1999,2,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
89,Vilde Bøe Risa,MF,no Norway,27,1995,4,3,256,2.8,0,2,2,0,0,0,1,0,0.1,0.1,0.4,0.5,4,35,5,0,0.7,0.7,0,0.7,0.02,0.15,0.17,0.02,0.17,Matches
90,Linda Caicedo,FW,co Colombia,18,2005,5,5,449,5,2,1,3,2,0,0,0,0,0.3,0.3,0.4,0.7,15,8,35,0.4,0.2,0.6,0.4,0.6,0.07,0.08,0.15,0.07,0.15,Matches
91,Mariona Caldentey,FW,es Spain,27,1996,6,5,448,5,1,1,2,0,1,1,0,0,1.9,1.1,0.9,2,13,36,48,0.2,0.2,0.4,0,0.2,0.38,0.17,0.56,0.22,0.4,Matches
92,Diane Caldwell,DF,ie Rep. of Ireland,34,1988,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
93,Viola Calligaris,"DF,MF",ch Switzerland,27,1996,2,0,51,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Matches
94,Tiffany Cameron,"DF,MF",jm Jamaica,31,1991,3,1,155,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,2,8,0,0,0,0,0,0.04,0.12,0.16,0.04,0.16,Matches
95,Sofia Cantore,FW,it Italy,23,1999,3,1,114,1.3,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,9,1,12,0,0,0,0,0,0.14,0.42,0.56,0.14,0.56,Matches
96,Ana Capeta,"FW,MF",pt Portugal,25,1997,2,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,2,0,5,0,0,0,0,0,0.56,0.14,0.7,0.56,0.7,Matches
97,Jorelyn Carabalí,DF,co Colombia,26,1997,5,5,449,5,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.3,1,12,2,0,0.2,0.2,0,0.2,0.04,0.02,0.06,0.04,0.06,Matches
98,Olga Carmona,DF,es Spain,23,2000,6,5,435,4.8,2,0,2,2,0,0,1,0,0.4,0.4,1.2,1.6,16,23,25,0.41,0,0.41,0.41,0.41,0.08,0.27,0.35,0.08,0.35,Matches
99,Ellie Carpenter,DF,au Australia,23,2000,7,7,643,7.1,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,15,21,22,0,0,0,0,0,0.02,0.08,0.1,0.02,0.1,Matches
100,Jess Carter,DF,eng England,25,1997,6,6,570,6.3,0,1,1,0,0,0,0,0,0,0,0.2,0.2,6,27,3,0,0.16,0.16,0,0.16,0,0.04,0.04,0,0.04,Matches
