Table 1
Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
131,Megan Connolly,DF,ie Rep. of Ireland,26,1997,3,3,270,3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,4,10,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
132,Laura Coombs,MF,eng England,32,1991,2,0,98,1.1,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,0,4,5,0,0.92,0.92,0,0.92,0.19,0.24,0.43,0.19,0.43,Matches
133,Kyra Cooney-Cross,MF,au Australia,21,2002,7,7,655,7.3,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.7,13,34,7,0,0.14,0.14,0,0.14,0.02,0.08,0.09,0.02,0.09,Matches
134,Vanina Correa,GK,ar Argentina,39,1983,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
135,Carole Costa,DF,pt Portugal,33,1990,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,2,19,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
136,María Coto,"DF,MF",cr Costa Rica,25,1998,3,3,270,3,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,2,11,5,0,0,0,0,0,0.18,0,0.18,0.18,0.18,Matches
137,Jessika Cowart,DF,ph Philippines,23,1999,3,3,262,2.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,7,0,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches
138,Marta Cox,"MF,FW",pa Panama,25,1997,3,3,258,2.9,1,0,1,1,0,0,0,0,0.3,0.3,0.2,0.6,3,10,9,0.35,0,0.35,0.35,0.35,0.12,0.07,0.19,0.12,0.19,Matches
139,Ana-Maria Crnogorčević,"FW,MF",ch Switzerland,32,1990,4,4,359,4,0,0,0,0,0,0,0,0,1.2,1.2,0.4,1.6,8,9,28,0,0,0,0,0,0.31,0.1,0.41,0.31,0.41,Matches
140,Julieta Cruz,DF,ar Argentina,27,1996,2,1,115,1.3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,Matches
141,Sara Däbritz,MF,de Germany,28,1995,3,3,243,2.7,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,7,13,8,0,0,0,0,0,0.06,0.16,0.23,0.06,0.23,Matches
142,Kenza Dali,MF,fr France,31,1991,4,3,321,3.6,1,0,1,1,0,0,1,0,0.6,0.6,0.6,1.2,6,12,16,0.28,0,0.28,0.28,0.28,0.18,0.2,0.38,0.18,0.38,Matches
143,Rachel Daly,DF,eng England,31,1991,7,6,540,6,1,1,2,1,0,0,0,0,1.5,1.5,0.4,1.9,6,26,26,0.17,0.17,0.33,0.17,0.33,0.26,0.07,0.33,0.26,0.33,Matches
144,Élisa De Almeida,DF,fr France,25,1998,3,3,299,3.3,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,2,13,2,0,0,0,0,0,0.07,0.08,0.14,0.07,0.14,Matches
145,Debinha,FW,br Brazil,31,1991,3,3,233,2.6,1,1,2,1,0,0,0,0,1,1,0.7,1.8,5,6,27,0.39,0.39,0.77,0.39,0.77,0.4,0.29,0.69,0.4,0.69,Matches
146,Valeria del Campo,DF,cr Costa Rica,23,2000,2,2,180,2,0,1,1,0,0,0,1,0,0.2,0.2,0.9,1.2,0,6,0,0,0.5,0.5,0,0.5,0.11,0.47,0.58,0.11,0.58,Matches
147,Athenea del Castillo,FW,es Spain,22,2000,3,1,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,6,2,14,0,0,0,0,0,0.06,0.52,0.58,0.06,0.58,Matches
148,Blessing Demehin,DF,ng Nigeria,21,2002,4,4,383,4.3,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,Matches
149,Savannah Demelo,MF,us USA,25,1998,2,2,107,1.2,0,0,0,0,0,0,0,0,0.4,0.4,0.5,1,1,7,3,0,0,0,0,0,0.38,0.43,0.8,0.38,0.8,Matches
150,Stefanie van der Gragt,DF,nl Netherlands,30,1992,5,5,419,4.7,2,1,3,2,0,0,0,0,0.5,0.5,0.5,0.9,3,18,1,0.43,0.21,0.64,0.43,0.64,0.1,0.1,0.2,0.1,0.2,Matches
151,Karabo Dhlamini,DF,za South Africa,21,2001,3,3,269,3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,8,2,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
152,Lucia Di Guglielmo,DF,it Italy,25,1997,3,3,211,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,10,1,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
153,Kadidiatou Diani,FW,fr France,28,1995,5,5,448,5,4,3,7,2,2,2,0,0,5.1,3.5,0.9,4.4,5,8,36,0.8,0.6,1.41,0.4,1,1.1,0.19,1.29,0.76,0.95,Matches
154,Caitlin Dijkstra,"MF,DF",nl Netherlands,24,1999,2,0,43,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,2,0,0,0,0,0,0,0,0.29,0.29,0,0.29,Matches
155,Daphne van Domselaar,GK,nl Netherlands,23,2000,5,5,480,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
156,Merel van Dongen,FW,nl Netherlands,30,1993,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,1,0,0,0,0,0,0,1.3,1.3,0,1.3,Matches
157,Daniëlle van de Donk,MF,nl Netherlands,31,1991,4,4,289,3.2,1,1,2,1,0,0,2,0,1.3,1.3,0.9,2.2,4,24,20,0.31,0.31,0.62,0.31,0.62,0.41,0.29,0.69,0.41,0.69,Matches
158,Sara Doorsoun,DF,de Germany,31,1991,2,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches
159,Giulia Dragoni,MF,it Italy,16,2006,3,3,230,2.6,0,0,0,0,0,0,0,0,0,0,0,0.1,2,10,8,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches
160,Melchie Dumornay,MF,ht Haiti,19,2003,3,2,225,2.5,0,0,0,0,0,0,1,0,0.5,0.5,0.4,0.9,9,13,14,0,0,0,0,0,0.22,0.15,0.37,0.22,0.37,Matches
161,Nguyễn Thị Tuyết Dung,MF,vn Vietnam,29,1993,2,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,Matches
162,Crystal Dunn,DF,us USA,30,1992,4,4,382,4.2,0,0,0,0,0,0,0,0,0,0,0,0,4,33,6,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
163,Solène Durand,GK,fr France,28,1994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Matches
164,Francesca Durante,GK,it Italy,26,1997,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
165,Mary Earps,GK,eng England,30,1993,7,7,660,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
166,Onome Ebi,"DF,MF",ng Nigeria,40,1983,2,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
167,Jennifer Echegini,"MF,FW",ng Nigeria,22,2001,3,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,3,2,0,0,0,0,0,0,0.89,0.89,0,0.89,Matches
168,Sara Eggesvik,MF,ph Philippines,26,1997,3,3,222,2.5,0,1,1,0,0,0,0,0,0,0,0.3,0.3,2,4,7,0,0.41,0.41,0,0.41,0.02,0.11,0.12,0.02,0.12,Matches
169,Emily van Egmond,"FW,MF",au Australia,29,1993,7,4,363,4,1,1,2,1,0,0,1,0,0.8,0.8,1,1.8,1,20,16,0.25,0.25,0.5,0.25,0.5,0.19,0.25,0.44,0.19,0.44,Matches
170,Damaris Egurrola,MF,nl Netherlands,23,1999,5,1,170,1.9,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.3,0,12,2,0,0,0,0,0,0.15,0.03,0.18,0.15,0.18,Matches
171,Amalie Eikeland,FW,no Norway,27,1995,1,1,56,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,3,0,0,0,0,0,0.19,0,0.19,0.19,0.19,Matches
172,Roseline Éloissaint,FW,ht Haiti,24,1999,3,1,130,1.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,5,8,9,0,0,0,0,0,0.31,0.04,0.35,0.31,0.35,Matches
173,Telma Encarnação,FW,pt Portugal,21,2001,3,1,96,1.1,1,1,2,1,0,0,0,0,1.9,1.9,0.7,2.6,2,4,21,0.94,0.94,1.87,0.94,1.87,1.79,0.66,2.44,1.79,2.44,Matches
174,Jun Endō,"MF,DF",jp Japan,23,2000,4,3,295,3.3,1,2,3,1,0,0,0,0,0.5,0.5,1.5,2,8,22,52,0.31,0.61,0.92,0.31,0.92,0.15,0.47,0.62,0.15,0.62,Matches
175,Bethany England,"FW,MF",eng England,29,1994,5,0,56,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,1,2,3,0,0,0,0,0,0.31,0.53,0.84,0.31,0.84,Matches
176,Khadija Er-Rmichi,GK,ma Morocco,33,1989,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
177,Magdalena Eriksson,DF,se Sweden,29,1993,7,7,660,7.3,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,6,43,1,0,0,0,0,0,0.09,0,0.09,0.09,0.09,Matches
178,Julie Ertz,DF,us USA,31,1992,4,4,390,4.3,0,0,0,0,0,0,1,0,0.5,0.5,0,0.5,9,21,4,0,0,0,0,0,0.11,0,0.11,0.11,0.11,Matches
179,Rebeca Espinosa,DF,pa Panama,30,1992,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
180,Victoria Esson,GK,nz New Zealand,32,1991,3,3,270,3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
181,Dani Étienne,MF,ht Haiti,22,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
182,Jeon Eun-ha,FW,kr Korea Republic,30,1993,1,0,22,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,2,3,0,0,0,0,0,0.28,0.5,0.78,0.28,0.78,Matches
183,Park Eun-sun,"FW,MF",kr Korea Republic,36,1986,3,1,119,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0,2,12,0,0,0,0,0,0.29,0.06,0.35,0.29,0.35,Matches
184,Niamh Fahey,DF,ie Rep. of Ireland,35,1987,3,3,269,3,0,0,0,0,0,0,0,0,0,0,0,0.1,4,21,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches
185,Daiana Falfán,MF,ar Argentina,22,2000,3,2,173,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,Matches
186,Jennifer Falk,GK,se Sweden,30,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
187,Sinead Farrelly,"FW,MF",ie Rep. of Ireland,33,1989,3,3,216,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,2,6,9,0,0,0,0,0,0.09,0.02,0.11,0.09,0.11,Matches
188,Laurina Fazer,MF,fr France,19,2003,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,1,5,0,0,0,0,0,0,0.16,0.16,0,0.16,Matches
189,Naomie Feller,FW,fr France,21,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
190,Isabella Flanigan,"MF,FW",ph Philippines,18,2005,3,1,104,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
191,Jessie Fleming,MF,ca Canada,25,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0.4,0.4,1,8,11,0,0,0,0,0,0,0.2,0.2,0,0.2,Matches
192,Caitlin Foord,"MF,FW",au Australia,28,1994,7,7,659,7.3,1,2,3,1,0,0,1,0,1.4,1.4,1.4,2.8,21,14,55,0.14,0.27,0.41,0.14,0.41,0.2,0.21,0.41,0.2,0.41,Matches
193,Mary Fowler,FW,au Australia,20,2003,6,6,563,6.3,1,1,2,1,0,0,0,0,2,2,0.9,2.9,8,19,22,0.16,0.16,0.32,0.16,0.32,0.34,0.16,0.5,0.34,0.5,Matches
194,Emily Fox,DF,us USA,24,1998,4,4,382,4.2,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,7,18,11,0,0,0,0,0,0.04,0.04,0.08,0.04,0.08,Matches
195,Laura Freigang,MF,de Germany,25,1998,1,0,8,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,3,3,0,0,0,0,0,2.57,0.62,3.19,2.57,3.19,Matches
196,Carleigh Frilles,FW,ph Philippines,21,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.8,0.27,1.07,0.8,1.07,Matches
197,Merle Frohms,GK,de Germany,28,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
198,Aoba Fujino,"FW,MF",jp Japan,19,2004,5,4,359,4,1,2,3,1,0,0,0,0,2.2,2.2,1.7,3.8,13,16,33,0.25,0.5,0.75,0.25,0.75,0.54,0.42,0.96,0.54,0.96,Matches
199,Chun Ga-ram,MF,kr Korea Republic,20,2002,2,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
200,Gabi Nunes,FW,br Brazil,26,1997,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0.09,0.09,0,0.09,Matches
201,Rocío Gálvez,DF,es Spain,26,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,Matches
202,Bongeka Gamede,"MF,DF",za South Africa,24,1999,4,4,360,4,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,7,0,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Matches
203,Mille Gejl,"FW,MF",dk Denmark,23,1999,2,0,56,0.6,0,1,1,0,0,0,0,0,0.3,0.3,0.1,0.4,3,2,3,0,1.61,1.61,0,1.61,0.48,0.14,0.62,0.48,0.62,Matches
204,Lee Geum-min,"MF,FW",kr Korea Republic,29,1994,2,2,177,2,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,1,5,10,0,0,0,0,0,0.21,0.03,0.24,0.21,0.24,Matches
205,Luna Gevitz,DF,dk Denmark,29,1994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
206,Grace Geyoro,MF,fr France,25,1997,5,5,435,4.8,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,4,26,14,0,0,0,0,0,0.06,0.04,0.1,0.06,0.1,Matches
207,Geyse,"FW,MF",br Brazil,25,1998,3,1,102,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,4,1,10,0,0.88,0.88,0,0.88,0.11,0.46,0.57,0.11,0.57,Matches
208,Valentina Giacinti,FW,it Italy,29,1994,3,2,179,2,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,3,0,16,0,0,0,0,0,0.28,0.05,0.33,0.28,0.33,Matches
209,Vanessa Gilles,DF,ca Canada,27,1996,3,3,270,3,0,0,0,0,0,0,1,0,0.7,0.7,0,0.7,3,22,5,0,0,0,0,0,0.22,0.01,0.23,0.22,0.23,Matches
210,Natalia Giraldo,GK,co Colombia,20,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
211,Cristiana Girelli,MF,it Italy,33,1990,2,0,35,0.4,1,1,2,1,0,0,0,0,0.7,0.7,0.7,1.4,0,2,3,2.57,2.57,5.14,2.57,5.14,1.7,1.87,3.56,1.7,3.56,Matches
212,Naomi Girma,DF,us USA,23,2000,4,4,390,4.3,0,0,0,0,0,0,1,0,0,0,0,0,3,26,1,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
213,Manuela Giugliano,MF,it Italy,25,1997,3,3,270,3,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,2,13,1,0,0,0,0,0,0.05,0.07,0.12,0.05,0.12,Matches
214,Benedetta Glionna,DF,it Italy,23,1999,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,8.88,0,8.88,8.88,8.88,Matches
215,Diana Gomes,DF,pt Portugal,24,1998,2,2,180,2,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
216,Camila Gómez Ares,MF,ar Argentina,28,1994,1,1,70,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches
217,Esther González,FW,es Spain,30,1992,5,3,234,2.6,1,0,1,1,0,0,0,0,2.6,2.6,0.1,2.7,4,5,16,0.38,0,0.38,0.38,0.38,1,0.05,1.05,1,1.05,Matches
218,Schiandra González,MF,pa Panama,27,1995,3,2,200,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,4,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
219,Katrina Gorry,MF,au Australia,30,1992,7,7,625,6.9,0,1,1,0,0,0,2,0,0.4,0.4,0.4,0.9,12,32,7,0,0.14,0.14,0,0.14,0.07,0.06,0.13,0.07,0.13,Matches
220,Caroline Graham Hansen,FW,no Norway,28,1995,4,3,295,3.3,1,0,1,1,0,0,0,0,0.5,0.5,1,1.5,18,9,18,0.31,0,0.31,0.31,0.31,0.15,0.31,0.46,0.15,0.46,Matches
221,Paulina Gramaglia,FW,ar Argentina,20,2003,2,1,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,Matches
222,Cristín Granados,MF,cr Costa Rica,33,1989,2,1,96,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,Matches
223,Charlotte Grant,MF,au Australia,21,2001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
224,Alex Greenwood,DF,eng England,29,1993,7,7,660,7.3,0,1,1,0,0,0,1,0,0,0,1.5,1.5,9,57,9,0,0.14,0.14,0,0.14,0,0.21,0.21,0,0.21,Matches
225,Giada Greggi,"MF,FW",it Italy,23,2000,3,0,72,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,5,3,0,0,0,0,0,0.07,0.04,0.1,0.07,0.1,Matches
226,Jackie Groenen,MF,nl Netherlands,28,1994,5,5,451,5,0,0,0,0,0,0,0,0,0,0,0.4,0.4,3,18,6,0,0,0,0,0,0,0.08,0.08,0,0.08,Matches
227,Julia Grosso,MF,ca Canada,22,2000,3,3,171,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,3,4,6,0,0,0,0,0,0.03,0.04,0.07,0.03,0.07,Matches
228,Irene Guerrero,MF,es Spain,26,1996,3,0,78,0.9,0,0,0,0,0,0,0,0,0.7,0.7,0.3,0.9,2,6,1,0,0,0,0,0,1.22,0.48,1.71,1.22,1.71,Matches
229,Gabriela Guillén,MF,cr Costa Rica,31,1992,1,1,45,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
230,Katrina Guillou,"FW,MF",ph Philippines,29,1993,3,3,270,3,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,1,2,7,0,0,0,0,0,0.04,0.03,0.06,0.04,0.06,Matches
231,Ana María Guzmán,DF,co Colombia,18,2005,2,1,171,1.9,0,1,1,0,0,0,0,0,0,0,0.3,0.3,2,6,3,0,0.53,0.53,0,0.53,0.01,0.16,0.17,0.01,0.17,Matches
232,Emilie Haavi,FW,no Norway,30,1992,4,3,254,2.8,0,0,0,0,0,0,1,0,0.5,0.5,0.3,0.9,7,14,29,0,0,0,0,0,0.18,0.12,0.3,0.18,0.3,Matches
233,Chantal Hagel,DF,de Germany,24,1998,3,2,182,2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,5,14,0,0,0,0,0,0,0.01,0.06,0.06,0.01,0.06,Matches
234,Phạm Hải Yến,FW,vn Vietnam,28,1994,3,1,93,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,3,3,0,0,0,0,0,0.07,0.03,0.1,0.07,0.1,Matches
235,Wu Haiyan,DF,cn China PR,30,1993,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
236,Hanane Aït El Haj,DF,ma Morocco,28,1994,4,4,360,4,0,1,1,0,0,0,1,0,0,0,0.2,0.2,3,3,0,0,0.25,0.25,0,0.25,0.01,0.04,0.05,0.01,0.05,Matches
237,Maika Hamano,DF,jp Japan,19,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.16,0,1.16,1.16,1.16,Matches
238,Jacqui Hand,FW,nz New Zealand,24,1999,3,3,269,3,0,1,1,0,0,0,0,0,0.3,0.3,0.6,0.8,9,8,29,0,0.33,0.33,0,0.33,0.08,0.2,0.28,0.08,0.28,Matches
239,Tuva Hansen,DF,no Norway,25,1997,4,4,325,3.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.5,4,21,16,0,0,0,0,0,0.04,0.09,0.13,0.04,0.13,Matches
240,Pernille Harder,"MF,FW",dk Denmark,30,1992,4,4,359,4,1,1,2,0,1,1,0,0,1.5,0.7,0.2,1,17,16,27,0.25,0.25,0.5,0,0.25,0.38,0.06,0.44,0.18,0.24,Matches
241,Sofia Harrison,DF,ph Philippines,24,1999,3,2,190,2.1,0,0,0,0,0,0,1,1,0,0,0,0,3,6,3,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
242,Mathilde Harviken,DF,no Norway,21,2001,4,4,350,3.9,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,Matches
243,Josefine Hasbo,MF,dk Denmark,21,2001,4,2,189,2.1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,1,4,3,0,0,0,0,0,0.18,0,0.18,0.18,0.18,Matches
244,Yui Hasegawa,MF,jp Japan,26,1997,5,4,392,4.4,0,1,1,0,0,0,0,0,0.2,0.2,0.7,1,8,34,14,0,0.23,0.23,0,0.23,0.06,0.17,0.22,0.06,0.22,Matches
245,Betsy Hassett,MF,nz New Zealand,32,1990,3,2,164,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,12,8,0,0,0,0,0,0.04,0.05,0.09,0.04,0.09,Matches
246,Honoka Hayashi,MF,jp Japan,25,1998,3,2,173,1.9,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.6,0,5,2,0.52,0,0.52,0.52,0.52,0.3,0.04,0.34,0.3,0.34,Matches
247,Ada Hegerberg,FW,no Norway,27,1995,2,1,107,1.2,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,1,1,9,0,0,0,0,0,0.35,0.3,0.65,0.35,0.65,Matches
248,Marina Hegering,DF,de Germany,33,1990,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,Matches
249,Lauren Hemp,FW,eng England,22,2000,7,6,518,5.8,3,1,4,3,0,0,2,0,2.6,2.6,0.5,3,14,5,54,0.52,0.17,0.69,0.52,0.69,0.45,0.08,0.53,0.45,0.53,Matches
250,Kathrin Hendrich,DF,de Germany,31,1992,3,3,270,3,0,1,1,0,0,0,0,0,0,0,0.7,0.7,3,18,1,0,0.33,0.33,0,0.33,0,0.24,0.24,0,0.24,Matches
251,Jennifer Hermoso,"MF,FW",es Spain,33,1990,7,7,646,7.2,3,2,5,3,0,2,0,0,4.6,3,1.9,5,11,54,51,0.42,0.28,0.7,0.42,0.7,0.67,0.28,0.96,0.44,0.73,Matches
252,Erika Hernández,FW,pa Panama,24,1999,1,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,Matches
253,Oihane Hernández,"DF,FW",es Spain,23,2000,6,2,304,3.4,0,0,0,0,0,0,2,0,0,0,0.2,0.2,10,23,19,0,0,0,0,0,0.01,0.05,0.06,0.01,0.06,Matches
254,Melissa Herrera,"FW,MF",cr Costa Rica,26,1996,3,3,270,3,1,0,1,1,0,0,0,0,1.2,1.2,0.3,1.5,6,2,20,0.33,0,0.33,0.33,0.33,0.39,0.11,0.49,0.39,0.49,Matches
255,Karen Holmgaard,MF,dk Denmark,24,1999,4,4,337,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,2,15,1,0,0,0,0,0,0.01,0.07,0.08,0.01,0.08,Matches
256,Sibulele Holweni,"DF,MF",za South Africa,22,2001,3,1,128,1.4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
257,Lindsey Horan,MF,us USA,29,1994,4,4,383,4.3,2,0,2,2,0,0,1,0,1.2,1.2,0.8,2,9,39,25,0.47,0,0.47,0.47,0.47,0.31,0.2,0.51,0.31,0.51,Matches
258,Xu Huan,GK,cn China PR,24,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
259,Sofia Huerta,DF,us USA,30,1992,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Matches
260,Jordyn Huitema,FW,ca Canada,22,2001,3,3,225,2.5,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.8,8,5,16,0,0,0,0,0,0.26,0.05,0.31,0.26,0.31,Matches
261,Fabienne Humm,FW,ch Switzerland,36,1986,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.19,0,0.19,0.19,0.19,Matches
262,Clare Hunt,DF,au Australia,24,1999,7,7,660,7.3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,10,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
263,Lina Hurtig,"FW,MF",se Sweden,27,1995,6,0,117,1.3,0,1,1,0,0,0,1,0,0,0,0.2,0.3,0,3,1,0,0.77,0.77,0,0.77,0.05,0.24,0.29,0.05,0.29,Matches
